個体識別番号,体重測定日,体重,報告
1604422434,2025/10/25,562,
1606160136,2025/10/25,730,
1661618481,2025/10/25,652,
1527615760,2025/10/25,622,
1377235170,2025/10/25,676,
1406524831,2025/10/25,624,
1644852246,2025/10/25,680,
1658837765,2025/10/25,572,
1668904419,2025/10/25,544,
1374424577,2025/10/25,648,
1354897551,2025/10/25,590,
1661630971,2025/10/25,556,
1552013869,2025/10/25,688,
1612204176,2025/10/25,612,
1505512067,2025/10/25,672,
1411319330,2025/10/25,712,
1608309632,2025/10/25,676,
1593212467,2025/10/25,632,
0861265099,2025/10/25,644,
0865887617,2025/10/25,646,
1525410985,2025/10/25,632,
1584523879,2025/10/25,630,
0870014671,2025/10/25,690,
1438512639,2025/10/25,690,
1477130658,2025/10/25,700,
1664426380,2025/10/25,626,
1492518950,2025/10/25,700,
0866268057,2025/10/25,666,
1592903120,2025/10/25,640,
1453721535,2025/10/25,656,
1531215727,2025/10/25,602,
1448904998,2025/10/25,612,
1652717681,2025/10/25,696,
1546767969,2025/10/25,634,
1390835944,2025/10/25,692,
1594810020,2025/10/25,606,
1531212641,2025/10/25,642,
1391118695,2025/10/25,692,
1422047185,2025/10/25,782,
1485416379,2025/10/25,682,
1456906465,2025/10/25,678,
1495216723,2025/10/25,698,
1610781174,2025/10/25,584,
1498812946,2025/10/25,738,
1474413099,2025/10/25,700,
1396600768,2025/10/25,600,
1592411410,2025/10/25,644,
1650821854,2025/10/25,660,
1517413925,2025/10/25,628,
1616890382,2025/10/25,702,
1516016745,2025/10/25,720,
1567011973,2025/10/25,630,
1599010333,2025/10/25,638,
1603555027,2025/10/25,518,
0868807315,2025/10/25,700,
1459604030,2025/10/25,634,
1584376826,2025/10/25,720,
1372481558,2025/10/25,730,
1498915302,2025/10/25,620,
1636312185,2025/10/25,530,
1507107049,2025/10/25,636,
1391042143,2025/10/25,678,
1589012996,2025/10/25,624,
1555412867,2025/10/25,606,
1372334533,2025/10/25,,
1474413099,2025/11/5,695,×
1599010333,2025/11/5,620,×
1613059805,2025/11/11,736,×
1639204777,2025/11/11,654,×
1491304134,2025/11/11,640,×
1661618481,2025/11/11,632,×
1415735914,2025/11/11,640,×
0871964913,2025/11/25,624,
1417627378,2025/11/25,684,
1402125322,2025/11/25,730,
1539114718,2025/11/25,644,
1415735914,2025/11/25,642,
